chrom	position	gene	5p_dist	3p_dist
chr1	973858	PLEKHN1	1510	1666
chr1	974039	PLEKHN1	1691	1485
chr1	978953	PERM1	2249	1271
chr1	981169	PERM1	33	3487
chr1	1014228	ISG15	325	312
chr1	1044368	AGRN	2236	5090
chr1	1054900	AGRN	6110	1216
chr1	1055000	AGRN	6210	1116
chr1	1055037	AGRN	6247	1079
chr1	1223251	SDF4	832	1101
chr1	1334508	TAS1R3	2669	806
chr1	1426175	TMEM88B	305	2912
chr1	1426261	TMEM88B	391	2826
chr1	1455469	ATAD3C	1383	2481
chr1	1534218	ATAD3A	2014	467
chr1	1534226	ATAD3A	2022	459
chr1	1543953	SSU72	704	580
chr1	1616547	MIB2	174	3032
chr1	1668373	SLC35E2B	1845	4589
chr1	1703565	CDK11A	2083	901
chr1	1704310	CDK11A	1711	1273
chr1	1704605	CDK11A	1621	1363
chr1	1918090	TMEM52	435	500
chr1	1922670	CFAP74	4841	514
chr1	1927692	CFAP74	3546	1809
chr1	1930143	CFAP74	3309	2046
chr1	1942086	CFAP74	2661	2694
chr1	1944419	CFAP74	2502	2853
chr1	1955806	CFAP74	2165	3190
chr1	1956754	CFAP74	1986	3369
chr1	2025598	GABRD	409	1505
chr1	2056554	PRKCZ	484	1901
chr1	2321320	MORN1	1577	68
chr1	2479806	PLCH2	644	4226
chr1	2487186	PLCH2	1224	3646
chr1	2499178	PLCH2	2829	2041
chr1	2521130	PANK4	401	2240
chr1	2556714	TNFRSF14	344	1358
chr1	2563346	TNFRSF14	1219	483
chr1	2595307	MMEL1	1740	1139
chr1	2604174	MMEL1	1111	1768
chr1	2609830	MMEL1	481	2398
chr1	2629443	MMEL1	229	2650
chr1	2629464	MMEL1	208	2671
chr1	2641760	TTC34	3005	4775
chr1	3022217	ACTRT2	751	686
chr1	3385157	PRDM16	501	8197
chr1	3412095	PRDM16	1955	6743
chr1	3463493	ARHGEF16	575	2247
chr1	3595370	MEGF6	583	6860
chr1	3595444	MEGF6	509	6934
chr1	3631572	WRAP73	1237	455
chr1	3632268	WRAP73	1096	596
chr1	3682336	TP73	130	5062
chr1	3682346	TP73	140	5052
chr1	3752637	CCDC27	188	1937
chr1	3761369	CCDC27	832	1293
chr1	3763211	CCDC27	1090	1035
chr1	3831074	CEP104	2144	4287
chr1	4711993	AJAP1	940	11162
chr1	5877108	NPHP4	3021	1934
chr1	6149303	CHD5	1401	8449
chr1	6151123	CHD5	1200	8650
chr1	6155676	CHD5	726	9124
chr1	6208961	RNF207	589	3392
chr1	6209280	RNF207	748	3233
chr1	6211065	RNF207	1240	2741
chr1	6211118	RNF207	1293	2688
chr1	6212018	RNF207	1445	2536
chr1	6218354	RNF207	1902	2079
chr1	6264553	ACOT7	1524	282
chr1	6464441	TNFRSF25	541	1427
chr1	6467536	PLEKHG5	3165	415
chr1	6468408	PLEKHG5	2545	1035
chr1	6469383	PLEKHG5	2118	1462
chr1	6471064	PLEKHG5	1435	2145
chr1	6471590	PLEKHG5	1296	2284
chr1	6473333	PLEKHG5	830	2750
chr1	6554170	NOL9	343	6284
chr1	6554475	NOL9	38	6589
chr1	6599445	KLHL21	1080	3407
chr1	6621684	PHF13	1286	2346
chr1	6633037	THAP3	836	525
chr1	6644575	DNAJC11	1095	2106
chr1	7809988	PER3	1648	4717
chr1	7827188	PER3	2569	3796
chr1	7827433	PER3	2814	3551
chr1	7829881	PER3	3244	3121
chr1	8335500	SLC45A1	1604	892
chr1	8358584	RERE	4575	3434
chr1	8358590	RERE	4569	3440
