chrom	position	gene	5p_dist	3p_dist
chr1	970920	PLEKHN1	576	2600
chr1	979472	PERM1	1730	1790
chr1	979560	PERM1	1642	1878
chr1	1310993	PUSL1	831	426
chr1	1454394	ATAD3C	1267	2597
chr1	1455495	ATAD3C	1409	2455
chr1	1468434	ATAD3C	2135	1729
chr1	1486151	ATAD3B	1125	2973
chr1	1487887	ATAD3B	1359	2739
chr1	1490320	ATAD3B	1521	2577
chr1	1495605	ATAD3B	1855	2243
chr1	1626874	MIB2	1378	1828
chr1	2408761	PEX10	352	2483
chr1	2487186	PLCH2	1224	3646
chr1	2499178	PLCH2	2829	2041
chr1	2521130	PANK4	401	2240
chr1	2595307	MMEL1	1740	1139
chr1	2641760	TTC34	3005	4775
chr1	3385157	PRDM16	501	8197
chr1	3473163	ARHGEF16	1274	1548
chr1	3478475	ARHGEF16	1843	979
chr1	3505333	MEGF6	2302	5141
chr1	3508619	MEGF6	1838	5605
chr1	3595370	MEGF6	583	6860
chr1	3627623	TPRG1L	652	1749
chr1	3635228	WRAP73	773	919
chr1	3761369	CCDC27	832	1293
chr1	3836572	CEP104	1576	4855
chr1	3844915	CEP104	894	5537
chr1	5866447	NPHP4	3789	1166
chr1	5867109	NPHP4	3698	1257
chr1	5905321	NPHP4	2145	2810
chr1	6098502	KCNAB2	1498	2678
chr1	6144101	CHD5	2154	7696
chr1	6633037	THAP3	836	525
chr1	6645884	DNAJC11	814	2387
chr1	7809988	PER3	1648	4717
chr1	7827433	PER3	2814	3551
chr1	7852969	UTS2	96	495
chr1	9264611	H6PD	2421	6726
chr1	9582366	SLC25A33	1058	2807
chr1	10258594	KIF1B	673	10182
chr1	10375266	KIF1B	5689	5166
chr1	10400428	PGD	174	2094
chr1	10413139	PGD	786	1482
chr1	10469269	DFFA	276	5759
chr1	11256187	MTOR	630	8091
chr1	11501107	DISP3	336	4929
chr1	11519447	DISP3	2203	3062
chr1	11529854	DISP3	3218	2047
chr1	11536398	DISP3	4112	1153
chr1	11711931	DRAXIN	877	6488
chr1	11768181	C1orf167	1631	3041
chr1	11771558	C1orf167	1915	2757
chr1	11772232	C1orf167	2144	2528
chr1	11775499	C1orf167	2236	2436
chr1	11778952	C1orf167	2706	1966
chr1	11778977	C1orf167	2731	1941
chr1	11779866	C1orf167	2899	1773
chr1	11794749	MTHFR	1235	5783
chr1	11803000	MTHFR	206	6812
chr1	12580622	DHRS3	1101	1100
chr1	12725527	AADACL3	822	3233
chr1	12725782	AADACL3	1077	2978
chr1	12794279	PRAMEF1	755	1405
chr1	12794395	PRAMEF1	871	1289
chr1	13475969	LRRC38	1171	997
chr1	13778644	PRDM2	1027	6252
chr1	13778803	PRDM2	1186	6093
chr1	13782619	PRDM2	5002	2277
chr1	15112494	KAZN	2429	3620
chr1	15219581	TMEM51	1074	897
chr1	15327067	FHAD1	1669	3873
chr1	15341780	FHAD1	2209	3333
chr1	15467418	CELA2A	694	222
chr1	15565920	DNAJC16	1729	4305
chr1	15577823	AGMAT	845	2250
chr1	15579006	AGMAT	656	2439
chr1	15583249	AGMAT	502	2593
chr1	15633482	DDI2	762	9905
chr1	15660052	RSC1A1	340	1981
chr1	15660052	DDI2	1675	8992
chr1	15716271	PLEKHM2	334	3800
chr1	15717906	PLEKHM2	530	3604
chr1	15718592	PLEKHM2	671	3463
chr1	15729869	PLEKHM2	2387	1747
chr1	15743149	TMEM82	352	1091
chr1	15770439	FBLIM1	836	2478
chr1	15933318	SPEN	7439	4946
chr1	15944765	ZBTB17	1209	1511
chr1	16024780	CLCNKA	282	2209
